task_id,node_id,start,duration
Init-1683,118,0,4
Init-1684,201,0,16
Init-1685,163,0,16
Init-1686,148,0,4
Init-1687,78,0,14
Init-1688,170,0,3
Init-1689,115,0,20
Init-1690,0,0,6
Init-1693,162,0,11
Init-1694,171,0,4
Init-1696,161,0,3
Init-1697,185,0,3
Init-1698,1,0,13
Init-1699,137,0,2
Init-1700,190,0,20
Init-1704,190,0,14
Init-1720,145,0,4
Init-1722,8,0,18
Init-1728,29,0,4
Init-1732,152,0,20
Init-1747,40,0,13
Init-1754,181,0,5
Init-1758,58,0,8
Init-1775,79,0,10
Init-1777,88,0,17
Init-1782,85,0,4
Init-1790,98,0,9
Init-1793,108,0,3
Init-1801,114,0,3
Init-1815,118,0,4
Init-1819,119,0,17
Init-1828,142,0,11
Init-1842,146,0,3
Init-1852,166,0,3
Init-1861,170,0,6
Init-1863,185,0,4
Init-1735,13,0,3
Init-1736,6,0,6
Init-1737,27,0,14
Init-1738,5,0,7
Init-1739,13,0,3
Init-1740,18,0,3
Init-1741,19,0,17
Init-1742,27,0,9
Init-1743,33,0,14
Init-1744,34,0,18
Init-1745,37,0,16
Init-1746,42,0,18
Init-1748,52,0,10
Init-1749,45,0,5
Init-1750,39,0,14
Init-1751,68,0,9
Init-1752,31,0,7
Init-1753,54,0,2
Init-1755,1,0,13
Init-1756,50,0,10
Init-1757,60,0,4
Init-1759,3,0,4
Init-1760,19,0,20
Init-1761,59,0,7
Init-1762,62,0,4
Init-1763,70,0,15
Init-1764,76,0,4
Init-1765,70,0,14
Init-1766,87,0,10
Init-1767,73,0,4
Init-1768,152,0,14
Init-1769,60,0,5
Init-1770,68,0,8
Init-1771,11,0,10
Init-1772,34,0,4
Init-1773,74,0,2
Init-1776,72,0,14
Init-1779,80,0,17
Init-1780,44,0,13
Init-1781,83,0,14
Init-1783,122,0,4
Init-1785,98,0,14
Init-1786,125,0,14
Init-1787,62,0,13
Init-1789,128,0,8
Init-1792,152,0,16
Init-1794,159,0,14
Init-1795,80,0,18
Init-1797,154,0,3
Init-1798,107,0,2
Init-1800,173,0,6
Init-1802,187,0,16
Init-1803,116,0,4
Init-1804,125,0,9
Init-1805,130,0,15
Init-1806,199,0,14
Init-1808,175,0,3
Init-1809,186,0,5
Init-1820,139,0,13
Init-1832,191,0,16
Init-1847,196,0,17
Init-1865,5,0,10
Init-1885,6,0,19
Init-1902,18,0,13
Init-1905,37,0,6
Init-1907,68,0,18
Init-1912,72,0,19
Init-1917,98,0,16
Init-1920,152,0,13
Init-1935,130,0,6
Init-1939,154,0,17
Init-1943,186,0,7
Init-1944,187,0,16
Init-1947,199,0,18
Init-1849,7,0,9
Init-1850,8,0,20
Init-1851,12,0,6
Init-1853,22,0,3
Init-1854,44,0,17
Init-1855,7,0,9
Init-1856,10,0,15
Init-1857,12,0,11
Init-1858,21,0,2
Init-1859,51,0,7
Init-1860,66,0,20
Init-1862,47,0,16
Init-1864,93,0,12
Init-1866,34,0,4
Init-1867,93,0,18
Init-1868,100,0,5
